Date,Open,High,Low,Close,Adj Close,Volume
2022-10-17,400.500000,405.640015,391.859985,402.540009,402.540009,784300
2022-10-18,412.929993,415.369995,400.209991,404.980011,404.980011,682000
2022-10-19,396.000000,399.279999,384.760010,386.260010,386.260010,1168500
2022-10-20,387.579987,398.089996,381.279999,381.589996,381.589996,914600
2022-10-21,382.640015,385.959991,374.089996,382.809998,382.809998,805900
2022-10-24,383.609985,384.890015,373.799988,384.630005,384.630005,906800
2022-10-25,384.040009,397.690002,383.519989,395.399994,395.399994,903400
2022-10-26,397.369995,408.899994,395.109985,399.269989,399.269989,773600
2022-10-27,401.299988,406.200012,399.359985,402.239990,402.239990,597400
2022-10-28,401.190002,418.959991,400.600006,416.140015,416.140015,773600
2022-10-31,415.510010,421.369995,415.279999,419.369995,419.369995,701700
2022-11-01,424.510010,425.500000,417.459991,422.000000,422.000000,779300
2022-11-02,412.649994,426.890015,406.350006,406.769989,406.769989,954300
2022-11-03,403.899994,420.049988,402.769989,415.640015,415.640015,596600
2022-11-04,418.609985,424.119995,411.899994,418.320007,418.320007,525000
2022-11-07,418.320007,419.519989,410.839996,419.350006,419.350006,443300
2022-11-08,421.000000,426.160004,418.339996,423.119995,423.119995,583700
2022-11-09,420.000000,428.190002,413.149994,413.470001,413.470001,596500
2022-11-10,424.399994,431.000000,416.500000,423.579987,423.579987,641300
2022-11-11,427.079987,430.750000,420.269989,430.269989,430.269989,893400
2022-11-14,431.500000,436.809998,422.429993,422.619995,422.619995,725100
2022-11-15,432.000000,439.519989,428.510010,436.269989,436.269989,659500
2022-11-16,429.119995,436.179993,428.320007,435.579987,435.579987,505700
2022-11-17,432.010010,435.500000,426.609985,434.700012,434.700012,397300
2022-11-18,441.660004,442.950012,435.559998,440.500000,440.500000,580800
2022-11-21,439.959991,443.200012,436.350006,442.010010,442.010010,350100
2022-11-22,445.529999,450.239990,441.549988,450.040009,450.040009,423200
2022-11-23,450.230011,451.480011,446.149994,447.369995,447.369995,453500
2022-11-25,448.579987,448.859985,444.619995,448.350006,448.350006,240000
2022-11-28,448.470001,461.570007,447.869995,457.239990,457.239990,898200
2022-11-29,457.309998,457.309998,446.100006,449.880005,449.880005,1210100
2022-11-30,449.950012,466.549988,447.059998,464.839996,464.839996,1193600
2022-12-01,470.470001,477.079987,464.000000,472.529999,472.529999,1499700
2022-12-02,467.049988,477.920013,461.880005,471.329987,471.329987,1526400
2022-12-05,468.339996,473.109985,465.390015,472.519989,472.519989,941300
2022-12-06,472.000000,474.480011,460.230011,465.579987,465.579987,897100
2022-12-07,463.309998,480.570007,462.829987,480.049988,480.049988,841500
2022-12-08,481.500000,482.690002,473.709991,481.649994,481.649994,712700
2022-12-09,480.040009,480.500000,471.480011,471.630005,471.630005,559000
2022-12-12,465.000000,472.350006,463.989990,471.959991,471.959991,528600
2022-12-13,482.859985,483.799988,462.540009,464.410004,464.410004,817700
2022-12-14,462.880005,466.459991,456.369995,462.850006,462.850006,564000
2022-12-15,458.600006,458.600006,453.000000,455.019989,455.019989,491300
2022-12-16,451.720001,455.040009,446.790009,451.119995,451.119995,880800
2022-12-19,453.670013,453.809998,439.200012,440.510010,440.510010,748000
2022-12-20,440.179993,445.309998,436.149994,439.200012,439.200012,530800
2022-12-21,446.279999,453.700012,443.769989,452.290009,452.290009,680200
2022-12-22,449.000000,457.529999,445.630005,457.049988,457.049988,939200
2022-12-23,458.160004,460.130005,454.109985,456.399994,456.399994,361100
2022-12-27,459.119995,466.739990,457.010010,464.000000,464.000000,578300
2022-12-28,465.380005,465.410004,457.540009,463.519989,463.519989,560700
2022-12-29,465.700012,469.350006,463.769989,464.829987,464.829987,431200
2022-12-30,462.549988,469.549988,460.549988,469.070007,469.070007,372500
2023-01-03,469.660004,473.579987,466.619995,471.630005,471.630005,545800
2023-01-04,476.309998,483.609985,471.329987,483.519989,483.519989,716900
2023-01-05,482.470001,490.980011,479.559998,488.940002,488.940002,702200
2023-01-06,478.989990,489.279999,478.890015,486.190002,486.190002,779100
2023-01-09,484.269989,490.880005,480.410004,484.760010,484.760010,470700
2023-01-10,483.850006,489.589996,482.010010,488.619995,488.619995,393000
2023-01-11,490.000000,495.519989,488.679993,493.549988,493.549988,519000
2023-01-12,493.100006,495.890015,488.920013,491.829987,491.829987,446800
2023-01-13,490.420013,495.390015,489.130005,490.989990,490.989990,406500
2023-01-17,490.829987,495.000000,488.679993,494.589996,494.589996,467700
2023-01-18,495.679993,501.440002,495.679993,500.079987,500.079987,544800
2023-01-19,496.500000,499.809998,486.019989,488.119995,488.119995,628500
2023-01-20,488.279999,495.940002,486.320007,491.250000,491.250000,589500
2023-01-23,494.200012,500.950012,491.600006,500.470001,500.470001,417800
2023-01-24,498.399994,503.040009,495.920013,501.529999,501.529999,555100
2023-01-25,500.220001,502.829987,493.779999,502.630005,502.630005,299400
2023-01-26,505.799988,509.049988,502.070007,506.820007,506.820007,391200
2023-01-27,508.989990,511.000000,505.190002,505.670013,505.670013,439700
2023-01-30,505.609985,512.690002,505.410004,507.970001,507.970001,433300
2023-01-31,509.109985,514.250000,508.130005,513.960022,513.960022,503300
2023-02-01,511.899994,525.890015,511.250000,523.590027,523.590027,531800
2023-02-02,525.630005,528.640015,517.049988,520.830017,520.830017,545900
2023-02-03,518.320007,521.979980,516.020020,520.760010,520.760010,337100
2023-02-06,518.200012,522.419983,515.739990,518.000000,518.000000,370400
2023-02-07,517.000000,526.080017,512.919983,524.960022,524.960022,542400
2023-02-08,520.799988,524.650024,520.000000,523.219971,523.219971,351900
2023-02-09,528.059998,531.690002,521.799988,522.080017,522.080017,630100
2023-02-10,517.400024,519.190002,512.109985,515.750000,515.750000,711100
2023-02-13,518.989990,521.539978,515.609985,520.179993,520.179993,422200
2023-02-14,520.809998,527.099976,520.349976,524.650024,524.650024,399400
